"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U3";"SOT-5X3_DRL_TEX";1;"LM66200DRLR";;;
2;"J4";"GCT_USB4215-03-A_REVA";1;"USB4215-03-A_REVA";;;
3;"BT1";"BatteryHolder_Keystone_1024";1;"Battery_Cell";;;
4;"R6,R5";"R_1206_3216Metric";2;"10k";;;
5;"C8,C9";"C_1206_3216Metric";2;"16pF";;;
6;"Y1";"Crystal_SMD_ECS_ECX-34R_2p_3.2x1.5";1;"Crystal";;;
7;"R8";"R_1206_3216Metric";1;"R";;;
8;"R7,R4";"R_1206_3216Metric";2;"365K";;;
9;"C7";"C_1206_3216Metric";1;".1uF";;;
10;"R3";"R_1206_3216Metric";1;"5k";;;
11;"C1";"C_1206_3216Metric";1;"100nF";;;
12;"U1";"ESP32-H2-MINI-1";1;"ESP32-H2-MINI-1";;;
13;"SW1,SW2";"SW_TS18-5-17-SL-260-SMT-TR";2;"SW_SPST";;;
14;"R1,R2";"R_1206_3216Metric";2;"5.1k";;;
15;"C6";"C_1206_3216Metric";1;"1uF";;;
16;"C3,C5,C2";"C_1206_3216Metric";3;"2.2uF";;;
17;"U2";"Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad";1;"SHT4x";;;
18;"C4";"C_1206_3216Metric";1;"10uF";;;
19;"U4";"SOT-23-5";1;"TPS79933DDCR";;;
