"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW1,SW2";"SW_TS18-5-17-SL-260-SMT-TR";2;"SW_SPST";;;
2;"U1";"ESP32-H2-MINI-1";1;"ESP32-H2-MINI-1";;;
3;"R4,R3";"R_1206_3216Metric";2;"R";;;
4;"U2";"Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad";1;"SHT4x";;;
5;"J4";"GCT_USB4215-03-A_REVA";1;"USB4215-03-A_REVA";;;
6;"C4";"C_1206_3216Metric";1;"10uF";;;
7;"R6,R5";"R_1206_3216Metric";2;"10k";;;
8;"R2,R1";"R_1206_3216Metric";2;"5.1k";;;
9;"C1";"C_1206_3216Metric";1;"100nF";;;
10;"U5";"SOT-23-5";1;"TLV74333PDBVR";;;
11;"C3,C5";"C_1206_3216Metric";2;"2.2uF";;;
12;"SDA,SCL,";"";3;"";;;
13;"C6";"C_1206_3216Metric";1;"1uF";;;
